[09/03/2014 11:34:43AM] INFO - ==== Loading 'Xdebug Client.sublime-package' package ====
[09/03/2014 11:34:43AM] INFO - Failed to open /Users/xmdev/Library/Application Support/Sublime Text 3/Packages/User/Xdebug.expressions.
[09/03/2014 11:34:43AM] DEBUG - [Errno 2] No such file or directory: '/Users/xmdev/Library/Application Support/Sublime Text 3/Packages/User/Xdebug.expressions'
[09/03/2014 11:34:43AM] INFO - Failed to parse /Users/xmdev/Library/Application Support/Sublime Text 3/Packages/User/Xdebug.expressions.
[09/03/2014 11:34:43AM] DEBUG - local variable 'data_file' referenced before assignment
[09/03/2014 11:34:59AM] WARNING - Could not import subprocess32 module, falling back to subprocess module
[09/03/2014 11:45:08AM] INFO - scan_purelang: path: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php' lang: PHP
[09/03/2014 11:45:08AM] INFO - scan_multilang: path: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php' lang: PHP
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['pageHelper', 'addCssList()'], line: 27 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_status_header()'], line: 33 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['layout', 'set()'], line: 39 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['layout', 'skin()'], line: 40 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['load', 'library()'], line: 41 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - variable is making a method call (ignoring): ['postConfigureLoad()'], line: 50 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - variable is making a method call (ignoring): ['categories()'], line: 56 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - variable is making a method call (ignoring): ['cat()'], line: 58 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_header()'], line: 129 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_output()'], line: 130 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_header()'], line: 156 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_output()'], line: 157 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['categoryModel', 'updateCategory()'], line: 184 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['category', 'categories_ordering'], line: 208 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['category', 'categories_ordering'], line: 212 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['category', 'categories_ordering'], line: 216 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['category', 'categories_ordering'], line: 220 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['category', 'categories_ordering'], line: 225 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['category', 'categories_ordering'], line: 236 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_header()'], line: 251 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_output()'], line: 252 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_header()'], line: 291 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_output()'], line: 292 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_header()'], line: 368 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_output()'], line: 369 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['load', 'helper()'], line: 379 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['form_validation', 'set_rules()'], line: 383 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['form_validation', 'set_rules()'], line: 384 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['form_validation', 'run()'], line: 385 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setName()'], line: 423 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setUrl()'], line: 424 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setParent()'], line: 425 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setColumn()'], line: 426 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setShow_products()'], line: 427 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setShow_subcats()'], line: 428 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setShow_subsubcats()'], line: 429 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setOrdering()'], line: 430 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setExclude()'], line: 431 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'setTable_name()'], line: 434 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'setUrl_name()'], line: 435 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'setPublic()'], line: 436 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'setSegment()'], line: 437 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'setTable_id()'], line: 440 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'save()'], line: 441 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setName()'], line: 471 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setUrl()'], line: 472 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'setUrl_name()'], line: 482 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['route', 'save()'], line: 483 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_header()'], line: 521 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_output()'], line: 522 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_header()'], line: 605 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['output', 'set_output()'], line: 606 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['h', 'delete()'], line: 623 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['product', 'delete()'], line: 626 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'select()'], line: 665 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'group_by()'], line: 666 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 667 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setCid()'], line: 679 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setItemno()'], line: 680 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setKitno()'], line: 681 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setOrdering()'], line: 682 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setCid()'], line: 699 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setItemno()'], line: 700 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setOrdering()'], line: 701 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['load', 'helper()'], line: 796 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['pagination', 'initialize()'], line: 890 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['layout', 'view()'], line: 896 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['layout', 'view()'], line: 909 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['load', 'library()'], line: 923 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['xm_uploader', 'do_move()'], line: 927 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['form_validation', 'set_rules()'], line: 939 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['load', 'library()'], line: 956 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['xm_uploader', 'initialize()'], line: 957 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['brand', 'setName()'], line: 964 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['brand', 'setUrl()'], line: 965 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['xm_uploader', 'delete_file()'], line: 969 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['brand', 'setImage()'], line: 974 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['products', 'updateWhere()'], line: 990 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['form_validation', 'set_rules()'], line: 1003 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['brandDao', 'setName()'], line: 1010 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['load', 'library()'], line: 1025 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['xm_uploader', 'delete_file()'], line: 1027 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['products', 'updateWhere()'], line: 1033 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['pagination', 'initialize()'], line: 1163 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['layout', 'view()'], line: 1169 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1196 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1200 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
